,city,colleges,colleges_count,state_code,city_state
0,Auburn,"['Auburn University', 'Edward Via College of Osteopathic Medicine']",2,AL,"Auburn, AL"
1,Birmingham,"['Cumberland School of Law', 'Miles Law School', 'Arkadelphia', 'Birmingham Southern - College', 'Southside', 'Birmingham School of Law', 'University of Alabama at Birmingham']",7,AL,"Birmingham, AL"
2,Dothan,"['Fortis College', 'Troy University', 'Alabama College of Osteopathic Medicine']",3,AL,"Dothan, AL"
3,Fairfield,['Miles College'],1,AL,"Fairfield, AL"
4,Florence,"['Heritage Christian University', 'University of North Alabama']",2,AL,"Florence, AL"
5,Homewood,['Samford University'],1,AL,"Homewood, AL"
6,Huntsville,"['University of Alabama, Huntsville']",1,AL,"Huntsville, AL"
7,Jacksonville,['Jacksonville State University'],1,AL,"Jacksonville, AL"
8,Livingston,['University of West Alabama'],1,AL,"Livingston, AL"
9,Marion,['Judson College (Alabama)'],1,AL,"Marion, AL"
10,Mobile,"['Spring Hill College', 'University of South Alabama']",2,AL,"Mobile, AL"
11,Montevallo,"['University of Montevallo', 'Faulkner University']",2,AL,"Montevallo, AL"
12,Montgomery,"['Alabama State University', 'Huntingdon College', 'Auburn University at Montgomery', 'H. Councill Trenholm State Technical College', 'Faulkner University']",5,AL,"Montgomery, AL"
13,Troy,['Troy University'],1,AL,"Troy, AL"
14,Tuscaloosa,"['University of Alabama', 'Stillman College', 'Shelton State']",3,AL,"Tuscaloosa, AL"
15,Tuskegee,['Tuskegee University'],1,AL,"Tuskegee, AL"
16,Anchorage,['University of Alaska Anchorage'],1,AK,"Anchorage, AK"
17,Fairbanks,['University of Alaska Fairbanks'],1,AK,"Fairbanks, AK"
18,Juneau,['University of Alaska Southeast'],1,AK,"Juneau, AK"
19,Ketchikan,['University of Alaska Southeast'],1,AK,"Ketchikan, AK"
20,Sitka,['University of Alaska Southeast'],1,AK,"Sitka, AK"
21,Chandler,"['Western International University', 'University of Phoenix', 'International Baptist College', 'Ottawa University']",4,AZ,"Chandler, AZ"
22,Flagstaff,['Northern Arizona University'],1,AZ,"Flagstaff, AZ"
23,Gilbert,[],0,AZ,"Gilbert, AZ"
24,Glendale,"['Thunderbird School of Global Management at ASU', 'Midwestern University']",2,AZ,"Glendale, AZ"
25,Lake Havasu City,"['ASU Colleges at Lake Havasu City', 'Northern Arizona University']",2,AZ,"Lake Havasu City, AZ"
26,Mesa,"['Arizona State University Polytechnic campus', 'Benedictine University', 'Upper Iowa University', 'A.T. Still University School of Osteopathic Medicine in Arizona']",4,AZ,"Mesa, AZ"
27,Peoria,['Trine University'],1,AZ,"Peoria, AZ"
28,Phoenix,"['Arizona State University', 'University of Phoenix', 'Northern Arizona University', 'Grand Canyon University', 'Arizona Summit Law School', 'Arizona Christian University', 'Downtown Phoenix', 'Arizona State University Downtown Phoenix campus', 'University of Arizona College of Medicine']",9,AZ,"Phoenix, AZ"
29,Prescott,"['Embry–Riddle Aeronautical University', 'Yavapai College', 'Prescott College', 'Northern Arizona University', 'Old Dominion University']",5,AZ,"Prescott, AZ"
30,Scottsdale,['University of Phoenix'],1,AZ,"Scottsdale, AZ"
31,Tempe,"['Arizona State University', 'University of Phoenix', 'Brookline College', 'Bryan University']",4,AZ,"Tempe, AZ"
32,Tucson,"['University of Arizona', 'Brown Mackie College', 'Brookline College', 'University of Phoenix', 'The Art Institute of Tucson', 'Prescott College', 'Northern Arizona University', 'The Art Center Design College', 'Wayland Baptist University']",9,AZ,"Tucson, AZ"
